id;Наименование товара;Размеры в наличии;Цена розница, руб.;Цена оптовая, руб.;Оптовая скидка;Картинка товара на сайте Lebuto.ru;Страница товара на сайте Lebuto.ru;Цвет товара;Скидка;Состав;Детальное описание;Верхний раздел каталога;Подраздел каталога
24;Блузка 119 подростковая школьная (белый) длинный рукав;XS::S::M::L::XL;300;240;25.25;https://lebuto.ru/upload/iblock/49f/a0311647_b7e3_11e3_9ffd_000c29cc46f8_307581ac_b054_11ea_80e8_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_119_podrostkovaya_shkolnaya_belyy_dlinnyy_rukav/;белый;;100% хлопок ;р.XS(38) замеры по изделию: ширина груди 40 см., ширина талии 38 см., ширина бедер 44 см., длина спины 59 см., длина рукава 60 см.. ширина плеч 37 см., рост 153-158 р.S(40) замеры по изделию: ширина груди 42 см., ширина талии 40 см., ширина бедер 46 см., длина спины 59 см., длина рукава 60 см., ширина плеч 38 см., рост 153-158 р.М(42) замеры по изделию: ширина груди 44 см., ширина талии 42 см., ширина бедер 48 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39 см., рост 155-160 р.L(44) замеры по изделию: ширина груди 46 см., ширина талии 44 см., ширина бедер 50 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39,5 см., рост 155-160 р.XL (46) замеры по изделию: ширина груди 48 см., ширина талии 46 см., ширина бедер 52 см., длина спины 60 см., длина рукава 63 см., ширина плеч 40 см., рост 159-164 ;Девочкам;Школьная форма
25;Блузка 1619 подростковая школьная (белый) длинный рукав;XS::S::M::L::XL;400;299;25.25;https://lebuto.ru/upload/iblock/e4c/a031164e_b7e3_11e3_9ffd_000c29cc46f8_a4352da2_b054_11ea_80e8_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_1619_podrostkovaya_shkolnaya_belyy_dlinnyy_rukav/;белый;65;100% хлопок ;р.XS(38) замеры по изделию: ширина груди 40 см., ширина талии 38 см., ширина бедер 44 см., длина спины 59 см., длина рукава 60 см.. ширина плеч 37 см., рост 153-158 р.S(40) замеры по изделию: ширина груди 42 см., ширина талии 40 см., ширина бедер 46 см., длина спины 59 см., длина рукава 60 см., ширина плеч 38 см., рост 153-158 р.М(42) замеры по изделию: ширина груди 44 см., ширина талии 42 см., ширина бедер 48 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39 см., рост 155-160 р.L(44) замеры по изделию: ширина груди 46 см., ширина талии 44 см., ширина бедер 50 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39,5 см., рост 155-160 р.XL (46) замеры по изделию: ширина груди 48 см., ширина талии 46 см., ширина бедер 52 см., длина спины 60 см., длина рукава 63 см., ширина плеч 40 см., рост 159-164 ;Девочкам;Школьная форма
26;Блузка 5661 подростковая школьная (белый) длинный рукав;XS::XL;300;240;25.25;https://lebuto.ru/upload/iblock/53f/a0311639_b7e3_11e3_9ffd_000c29cc46f8_54bf7009_b054_11ea_80e8_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_5661_podrostkovaya_shkolnaya_belyy_dlinnyy_rukav/;белый;;100% хлопок ;р.XS(38) замеры по изделию: ширина груди 40 см., ширина талии 38 см., ширина бедер 44 см., длина спины 59 см., длина рукава 60 см.. ширина плеч 37 см., рост 153-158 р.S(40) замеры по изделию: ширина груди 42 см., ширина талии 40 см., ширина бедер 46 см., длина спины 59 см., длина рукава 60 см., ширина плеч 38 см., рост 153-158 р.М(42) замеры по изделию: ширина груди 44 см., ширина талии 42 см., ширина бедер 48 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39 см., рост 155-160 р.L(44) замеры по изделию: ширина груди 46 см., ширина талии 44 см., ширина бедер 50 см., длина спины 60 см., длина рукава 62 см., ширина плеч 39,5 см., рост 155-160 р.XL (46) замеры по изделию: ширина груди 48 см., ширина талии 46 см., ширина бедер 52 см., длина спины 60 см., длина рукава 63 см., ширина плеч 40 см., рост 159-164 ;Девочкам;Школьная форма
27;Блузка школьная TIGA 66987 бел.;11::13::15::17::19::9;300;240;25.25;https://lebuto.ru/upload/iblock/293/425f0f11_b7e3_11e3_9ffd_000c29cc46f8_a40cff02_88c1_11e8_9f15_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_shkolnaya_tiga_66987_bel/;белый;;Хлопок 95%, Спандекс 5%;р.7 (24) - 3/4 ( 100/105) р.9(26)-- 4/5 лет (110/115 см) замеры по изделию: ширина груди 32, ширина талии 30, длина рукава 47, длина спины 45 р.11(28) -- 6 лет (115/120) замеры по изделию: ширина груди 33, ширина талии 31, длина рукава 49, длина спины 48 р.13(30) --7 лет (120/128)  замеры по изделию: ширина груди 34, ширина талии 32, длина рукава 51, длина спины 50 р.15(32)--8 лет (128/134)  замеры по изделию: ширина груди 35, ширина талии 33, длина рукава 54, длина спины 52 р.17(34)--9 лет (134/140)  замеры по изделию: ширина груди 37, ширина талии 35, длина рукава 56, длина спины 54 р.19(36)- 10 лет (140/145)  замеры по изделию: ширина груди 38, ширина талии 36, длина рукава 59, длина спины 58;Девочкам;Школьная форма
28;Блузка школьная TIGA В05 бел.;17::11::13::15;300;240;25.25;https://lebuto.ru/upload/iblock/5bb/425f0f19_b7e3_11e3_9ffd_000c29cc46f8_9a71a628_88c5_11e8_9f15_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_shkolnaya_tiga_v05_bel/;белый;;Хлопок 95%, Спандекс 5%;р.7 (24) - 3/4 ( 100/105) р.9(26)-- 4/5 лет (110/115 см) замеры по изделию: ширина груди 32, ширина талии 30, длина рукава 47, длина спины 45 р.11(28) -- 6 лет (115/120) замеры по изделию: ширина груди 33, ширина талии 31, длина рукава 49, длина спины 48 р.13(30) --7 лет (120/128)  замеры по изделию: ширина груди 34, ширина талии 32, длина рукава 51, длина спины 50 р.15(32)--8 лет (128/134)  замеры по изделию: ширина груди 35, ширина талии 33, длина рукава 54, длина спины 52 р.17(34)--9 лет (134/140)  замеры по изделию: ширина груди 37, ширина талии 35, длина рукава 56, длина спины 54 р.19(36)- 10 лет (140/145)  замеры по изделию: ширина груди 38, ширина талии 36, длина рукава 59, длина спины 58;Девочкам;Школьная форма
29;Блузка школьная TIGA В06 бел.;11::13::7::9;300;240;25.25;https://lebuto.ru/upload/iblock/f3d/425f0f21_b7e3_11e3_9ffd_000c29cc46f8_c5ff6911_8989_11e8_9f15_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_shkolnaya_tiga_v06_bel/;белый;;95% хлопок, 5% спандекс;р.7 (24) - 3/4 ( 100/105) р.9(26)-- 4/5 лет (110/115 см) замеры по изделию: ширина груди 32, ширина талии 30, длина рукава 47, длина спины 45 р.11(28) -- 6 лет (115/120) замеры по изделию: ширина груди 33, ширина талии 31, длина рукава 49, длина спины 48 р.13(30) --7 лет (120/128)  замеры по изделию: ширина груди 34, ширина талии 32, длина рукава 51, длина спины 50 р.15(32)--8 лет (128/134)  замеры по изделию: ширина груди 35, ширина талии 33, длина рукава 54, длина спины 52 р.17(34)--9 лет (134/140)  замеры по изделию: ширина груди 37, ширина талии 35, длина рукава 56, длина спины 54 р.19(36)- 10 лет (140/145)  замеры по изделию: ширина груди 38, ширина талии 36, длина рукава 59, длина спины 58;Девочкам;Школьная форма
30;Блузка школьная TIGA В07 бел.;11::13::15::17::9::19;300;240;25.25;https://lebuto.ru/upload/iblock/233/425f0f28_b7e3_11e3_9ffd_000c29cc46f8_52361a47_898a_11e8_9f15_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_shkolnaya_tiga_v07_bel/;белый;;Хлопок 95%, Спандекс 5%;;Девочкам;Школьная форма
31;Блузка школьная TIGA В08 бел.;11::15::7::9;300;240;25.25;https://lebuto.ru/upload/iblock/27a/50c3e688_b7e3_11e3_9ffd_000c29cc46f8_33854d23_88c9_11e8_9f15_000c29cc4602.jpeg;https://lebuto.ru/catalog/devochkam_1/shkolnaya_forma_1/bluzka_shkolnaya_tiga_v08_bel/;белый;;Хлопок 95%, Спандекс 5%;р.7 (24) - 3/4 ( 100/105) р.9(26)-- 4/5 лет (110/115 см) замеры по изделию: ширина груди 32, ширина талии 30, длина рукава 47, длина спины 45 р.11(28) -- 6 лет (115/120) замеры по изделию: ширина груди 33, ширина талии 31, длина рукава 49, длина спины 48 р.13(30) --7 лет (120/128)  замеры по изделию: ширина груди 34, ширина талии 32, длина рукава 51, длина спины 50 р.15(32)--8 лет (128/134)  замеры по изделию: ширина груди 35, ширина талии 33, длина рукава 54, длина спины 52 р.17(34)--9 лет (134/140)  замеры по изделию: ширина груди 37, ширина талии 35, длина рукава 56, длина спины 54 р.19(36)- 10 лет (140/145)  замеры по изделию: ширина груди 38, ширина талии 36, длина рукава 59, длина спины 58;Девочкам;Школьная форма
32;Брюки A 168 св.серый;XL::5XL::2XL::3XL::4XL::7XL::8XL;800;640;;https://lebuto.ru/upload/iblock/e65/qx1uve0nsmzo0rxl5q9e071yw7rhx3xz/90dbe04e_1b05_11ee_8130_000c29cc4602_049732e7_ec0d_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_a_168_sv_seryy/;св.серый;;;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на трикотажной резинке.Объем пояса регулируется шнурком. Два боковых кармана на молнии, задний карман накладной.;Мужская одежда;Брюки спортивные
33;Брюки A 168 черный;XL::2XL::3XL::4XL::7XL;800;640;;https://lebuto.ru/upload/iblock/d87/emnbfl3s1lmabz3ktq2c0zceovm6sq19/180a7b31_1b04_11ee_8130_000c29cc4602_b4e9bd7e_ec0d_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_a_168_chernyy/;Черный;; 95% хлопок 5% эластан;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на трикотажной резинке.Объем пояса регулируется шнурком. Два боковых кармана на молнии, задний карман накладной.;Мужская одежда;Брюки спортивные
34;Брюки A 81044 св.серый;2XL::3XL::4XL::5XL;800;640;;https://lebuto.ru/upload/iblock/899/qlo11994dywvtcc1u7e1q44j1lmzav4w/0ef05b14_1af8_11ee_8130_000c29cc4602_8417198b_ec10_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_a_81044_sv_seryy/;св.серый;;51,1% хлопок 48,9% полиэстер;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
35;Брюки A 81044 черный;XL::5XL::2XL::3XL::4XL;800;640;;https://lebuto.ru/upload/iblock/535/8jbsx3xg53raqegpmjdo5ar5uhr8pxa2/ace9d173_1af7_11ee_8130_000c29cc4602_01563d5a_ec11_11ee_8142_000c29cc4602.jpg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_sportivnye/bryuki_a_81044_chernyy/;Черный;;51,1% хлопок 48,9% полиэстер;Мужские брюки выполнены из тонкого трикотажа. Пояс и манжеты на резинке.Объем пояса регулируется шнурком. Три кармана.;Мужская одежда;Брюки спортивные
36;Брюки B.A. 1038 бежевый;L;300;240;35.29;https://lebuto.ru/upload/iblock/1bd/012863b0_f47d_11e9_80de_000c29cc4602_d739ad9e_1b2f_11ea_80e0_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_b_a_1038_bezhevyy/;бежевый;;хлопок, полиэстер;;Женская одежда;Брюки и джинсы
37;Брюки B.A. 1038 черный;L::XL;300;240;35.29;https://lebuto.ru/upload/iblock/05c/b399bc2a_f47c_11e9_80de_000c29cc4602_4170b821_1b30_11ea_80e0_000c29cc4602.jpeg;https://lebuto.ru/catalog/zhenskaya_odezhda_1/bryuki_1/bryuki_i_dzhinsy/bryuki_b_a_1038_chernyy/;Черный;;хлопок, полиэстер;;Женская одежда;Брюки и джинсы
38;Брюки BN 10186101805 Col.059;S;1900;1500;20;https://lebuto.ru/upload/iblock/068/068484318ae265ea4cf3fda31a68ae08.jpeg;https://lebuto.ru/catalog/muzhskaya_odezhda_1/bryuki/bryuki_gornolyzhnye/bryuki_burton_10186101805_col_059/;зеленый;;верх: 100% полиэстер, подклад: 100% полиэстер ( флис);;Мужская одежда;Брюки горнолыжные
